date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.flags,tcp.window_size_value,tcp.options.mss_val
Mar 26, 2024 14:34:18.814586000 EDT,192.168.4.142,192.168.4.143,9998,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814599000 EDT,192.168.4.142,192.168.4.143,1503,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814612000 EDT,192.168.4.142,192.168.4.143,4003,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814627000 EDT,192.168.4.142,192.168.4.143,3269,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814641000 EDT,192.168.4.142,192.168.4.143,1862,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814655000 EDT,192.168.4.142,192.168.4.143,9101,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814669000 EDT,192.168.4.142,192.168.4.143,1864,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814685000 EDT,192.168.4.142,192.168.4.143,1322,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814700000 EDT,192.168.4.142,192.168.4.143,1287,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814714000 EDT,192.168.4.142,192.168.4.143,6346,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814728000 EDT,192.168.4.142,192.168.4.143,4242,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814741000 EDT,192.168.4.142,192.168.4.143,2366,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814754000 EDT,192.168.4.142,192.168.4.143,19350,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814767000 EDT,192.168.4.142,192.168.4.143,1688,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814781000 EDT,192.168.4.142,192.168.4.143,3493,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814796000 EDT,192.168.4.142,192.168.4.143,2196,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814804000 EDT,192.168.4.142,192.168.4.143,12345,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814818000 EDT,192.168.4.142,192.168.4.143,5915,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.816965000 EDT,192.168.4.142,192.168.4.143,2301,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.816996000 EDT,192.168.4.142,192.168.4.143,8292,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817011000 EDT,192.168.4.142,192.168.4.143,777,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817025000 EDT,192.168.4.142,192.168.4.143,49154,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817040000 EDT,192.168.4.142,192.168.4.143,8649,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817055000 EDT,192.168.4.142,192.168.4.143,1124,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817073000 EDT,192.168.4.142,192.168.4.143,900,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817089000 EDT,192.168.4.142,192.168.4.143,15660,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817103000 EDT,192.168.4.142,192.168.4.143,65129,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817116000 EDT,192.168.4.142,192.168.4.143,987,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817129000 EDT,192.168.4.142,192.168.4.143,1434,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817142000 EDT,192.168.4.142,192.168.4.143,2251,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817155000 EDT,192.168.4.142,192.168.4.143,8007,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817165000 EDT,192.168.4.142,192.168.4.143,10009,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817178000 EDT,192.168.4.142,192.168.4.143,3221,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817192000 EDT,192.168.4.142,192.168.4.143,2043,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817206000 EDT,192.168.4.142,192.168.4.143,1024,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817219000 EDT,192.168.4.142,192.168.4.143,5003,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817232000 EDT,192.168.4.142,192.168.4.143,8400,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817245000 EDT,192.168.4.142,192.168.4.143,1217,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817260000 EDT,192.168.4.142,192.168.4.143,1311,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817274000 EDT,192.168.4.142,192.168.4.143,1805,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817291000 EDT,192.168.4.142,192.168.4.143,8300,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817304000 EDT,192.168.4.142,192.168.4.143,50003,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.817317000 EDT,192.168.4.142,192.168.4.143,1011,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.884843000 EDT,192.168.4.143,192.168.4.142,41919,9998,0x0014,0,
Mar 26, 2024 14:34:18.884844000 EDT,192.168.4.143,192.168.4.142,41919,1069,0x0014,0,
Mar 26, 2024 14:34:18.884844000 EDT,192.168.4.143,192.168.4.142,41919,50001,0x0014,0,
Mar 26, 2024 14:34:18.884844000 EDT,192.168.4.143,192.168.4.142,41919,4998,0x0014,0,
Mar 26, 2024 14:34:18.884844000 EDT,192.168.4.143,192.168.4.142,41919,1503,0x0014,0,
