date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,tcp.options.unknown.payload
Mar 10, 2024 17:01:52.563377000 EDT,34.107.243.93,192.168.4.137,443,45070,501,0x0010,0xdb20
Mar 10, 2024 17:01:52.589060000 EDT,192.168.4.137,34.120.158.37,45460,443,65535,0x0012,0xcedd
Mar 10, 2024 17:01:52.589189000 EDT,34.120.158.37,192.168.4.137,443,45460,502,0x0010,0x85f5
Mar 10, 2024 17:01:52.594049000 EDT,34.120.158.37,192.168.4.137,443,45460,502,0x0018,0x8893
Mar 10, 2024 17:01:52.605789000 EDT,192.168.4.137,34.120.158.37,45452,443,65535,0x0012,0xf5b0
Mar 10, 2024 17:01:52.605917000 EDT,34.120.158.37,192.168.4.137,443,45452,502,0x0010,0x85f5
Mar 10, 2024 17:01:52.609027000 EDT,34.120.158.37,192.168.4.137,443,45452,502,0x0018,0x8893
Mar 10, 2024 17:01:52.611943000 EDT,34.117.121.53,192.168.4.137,443,41752,64240,0x0002,0x610a
Mar 10, 2024 17:01:52.618354000 EDT,23.223.17.202,192.168.4.137,80,41186,501,0x0018,0xf09f
Mar 10, 2024 17:01:52.623143000 EDT,192.168.4.137,34.120.158.37,45460,443,262,0x0010,0xf98a
Mar 10, 2024 17:01:52.630553000 EDT,192.168.4.137,34.120.158.37,45460,443,262,0x0010,0xf984
Mar 10, 2024 17:01:52.640377000 EDT,192.168.4.137,34.120.158.37,45460,443,262,0x0018,0xab0d
Mar 10, 2024 17:01:52.640467000 EDT,34.120.158.37,192.168.4.137,443,45460,501,0x0010,0x85f5
Mar 10, 2024 17:01:52.642052000 EDT,34.120.158.37,192.168.4.137,443,45460,501,0x0018,0x8635
Mar 10, 2024 17:01:52.643602000 EDT,34.120.158.37,192.168.4.137,443,45460,501,0x0018,0x869f
Mar 10, 2024 17:01:52.644156000 EDT,192.168.4.137,34.120.158.37,45452,443,262,0x0010,0x1f28
Mar 10, 2024 17:01:52.644169000 EDT,192.168.4.137,34.120.158.37,45452,443,255,0x0010,0x21cd
Mar 10, 2024 17:01:52.650094000 EDT,192.168.4.137,34.117.121.53,41752,443,65535,0x0012,0x1902
Mar 10, 2024 17:01:52.650163000 EDT,34.117.121.53,192.168.4.137,443,41752,502,0x0010,0x6102
Mar 10, 2024 17:01:52.651218000 EDT,34.120.158.37,192.168.4.137,443,45460,501,0x0018,0x8717
Mar 10, 2024 17:01:52.654635000 EDT,34.117.121.53,192.168.4.137,443,41752,502,0x0018,0x61e3
Mar 10, 2024 17:01:52.661987000 EDT,192.168.4.137,23.223.17.202,41186,80,501,0x0018,0x5532
Mar 10, 2024 17:01:52.661997000 EDT,192.168.4.137,34.120.158.37,45452,443,262,0x0018,0x8b66
Mar 10, 2024 17:01:52.662065000 EDT,23.223.17.202,192.168.4.137,80,41186,501,0x0010,0xef00
Mar 10, 2024 17:01:52.662175000 EDT,34.120.158.37,192.168.4.137,443,45452,501,0x0010,0x85f5
Mar 10, 2024 17:01:52.663892000 EDT,34.120.158.37,192.168.4.137,443,45452,501,0x0018,0x8635
Mar 10, 2024 17:01:52.665201000 EDT,34.120.158.37,192.168.4.137,443,45452,501,0x0018,0x869f
Mar 10, 2024 17:01:52.665609000 EDT,34.120.158.37,192.168.4.137,443,45452,501,0x0018,0x861c
Mar 10, 2024 17:01:52.671528000 EDT,34.120.158.37,192.168.4.137,443,45452,501,0x0018,0x860d
Mar 10, 2024 17:01:52.671924000 EDT,34.120.158.37,192.168.4.137,443,45452,501,0x0011,0x85f5
Mar 10, 2024 17:01:52.676808000 EDT,34.107.243.93,192.168.4.137,443,45070,501,0x0018,0xdb60
Mar 10, 2024 17:01:52.677605000 EDT,192.168.4.137,34.120.158.37,45460,443,267,0x0018,0xfac5
Mar 10, 2024 17:01:52.677646000 EDT,34.120.158.37,192.168.4.137,443,45460,501,0x0010,0x8601
Mar 10, 2024 17:01:52.679301000 EDT,34.107.243.93,192.168.4.137,443,45070,501,0x0018,0xdbca
Mar 10, 2024 17:01:52.686449000 EDT,192.168.4.137,34.120.158.37,45460,443,272,0x0010,0xf3be
Mar 10, 2024 17:01:52.687771000 EDT,192.168.4.137,34.117.121.53,41752,443,261,0x0010,0x4567
Mar 10, 2024 17:01:52.689789000 EDT,192.168.4.137,34.117.121.53,41752,443,261,0x0018,0x6bf2
Mar 10, 2024 17:01:52.689799000 EDT,192.168.4.137,34.117.121.53,41752,443,261,0x0018,0x6737
Mar 10, 2024 17:01:52.689861000 EDT,34.117.121.53,192.168.4.137,443,41752,496,0x0010,0x6102
Mar 10, 2024 17:01:52.689985000 EDT,34.117.121.53,192.168.4.137,443,41752,495,0x0010,0x6102
Mar 10, 2024 17:01:52.693477000 EDT,192.168.4.137,34.117.121.53,41752,443,261,0x0010,0x3983
Mar 10, 2024 17:01:52.693487000 EDT,192.168.4.137,34.120.158.37,45460,443,272,0x0018,0xefc4
Mar 10, 2024 17:01:52.693497000 EDT,192.168.4.137,34.120.158.37,45460,443,272,0x0018,0x3b05
Mar 10, 2024 17:01:52.693507000 EDT,192.168.4.137,34.120.158.37,45460,443,272,0x0018,0xf30a
Mar 10, 2024 17:01:52.693516000 EDT,192.168.4.137,34.120.158.37,45460,443,272,0x0018,0x02c5
Mar 10, 2024 17:01:52.693526000 EDT,192.168.4.137,34.120.158.37,45460,443,272,0x0018,0xc221
