date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 15:23:58.654369389 EST,192.168.4.133,20.88.154.174,35450,443,506,0x0018
Mar  8, 2024 15:23:58.654369467 EST,192.168.4.133,20.88.154.174,35450,443,506,0x0018
Mar  8, 2024 15:23:58.654369543 EST,192.168.4.133,20.88.154.174,35450,443,506,0x0018
Mar  8, 2024 15:23:58.654422409 EST,20.88.154.174,192.168.4.133,443,35450,243,0x0010
Mar  8, 2024 15:23:58.654452457 EST,20.88.154.174,192.168.4.133,443,35450,243,0x0010
Mar  8, 2024 15:23:58.654464356 EST,20.88.154.174,192.168.4.133,443,35450,243,0x0010
Mar  8, 2024 15:23:58.670717125 EST,20.88.154.174,192.168.4.133,443,35450,243,0x0018
Mar  8, 2024 15:23:58.671300836 EST,20.88.154.174,192.168.4.133,443,35450,243,0x0010
Mar  8, 2024 15:23:58.671323000 EST,20.88.154.174,192.168.4.133,443,35450,243,0x0018
Mar  8, 2024 15:23:58.716673558 EST,192.168.4.133,20.88.154.174,35450,443,506,0x0018
Mar  8, 2024 15:23:58.716674369 EST,192.168.4.133,20.88.154.174,35450,443,506,0x0018
Mar  8, 2024 15:23:58.717205841 EST,20.88.154.174,192.168.4.133,443,35450,243,0x0010
Mar  8, 2024 15:23:58.723011487 EST,192.168.4.133,20.88.154.174,35450,443,501,0x0010
Mar  8, 2024 15:23:58.728117363 EST,192.168.4.133,20.88.154.174,35450,443,501,0x0018
Mar  8, 2024 15:23:58.729408450 EST,20.88.154.174,192.168.4.133,443,35450,243,0x0018
Mar  8, 2024 15:23:58.729452034 EST,20.88.154.174,192.168.4.133,443,35450,243,0x0011
Mar  8, 2024 15:23:58.779667369 EST,192.168.4.133,20.88.154.174,35450,443,501,0x0011
Mar  8, 2024 15:23:58.779764927 EST,20.88.154.174,192.168.4.133,443,35450,243,0x0010
Mar  8, 2024 15:23:58.783765451 EST,192.168.4.133,20.88.154.174,35450,443,501,0x0010
Mar  8, 2024 15:23:59.680081090 EST,3.162.3.6,192.168.4.133,443,46304,31808,0x0002
Mar  8, 2024 15:23:59.711219227 EST,192.168.4.133,3.162.3.6,46304,443,65535,0x0012
Mar  8, 2024 15:23:59.711282311 EST,3.162.3.6,192.168.4.133,443,46304,249,0x0010
Mar  8, 2024 15:23:59.714966397 EST,3.162.3.6,192.168.4.133,443,46304,249,0x0018
Mar  8, 2024 15:23:59.750716779 EST,192.168.4.133,3.162.3.6,46304,443,131,0x0010
Mar  8, 2024 15:23:59.750716986 EST,192.168.4.133,3.162.3.6,46304,443,131,0x0010
Mar  8, 2024 15:23:59.752204992 EST,192.168.4.133,3.162.3.6,46304,443,131,0x0018
Mar  8, 2024 15:23:59.752236016 EST,3.162.3.6,192.168.4.133,443,46304,248,0x0010
Mar  8, 2024 15:23:59.753897381 EST,3.162.3.6,192.168.4.133,443,46304,248,0x0018
Mar  8, 2024 15:23:59.755913623 EST,3.162.3.6,192.168.4.133,443,46304,248,0x0018
Mar  8, 2024 15:23:59.789248778 EST,192.168.4.133,3.162.3.6,46304,443,133,0x0010
Mar  8, 2024 15:23:59.789249068 EST,192.168.4.133,3.162.3.6,46304,443,133,0x0018
Mar  8, 2024 15:23:59.789249140 EST,192.168.4.133,3.162.3.6,46304,443,133,0x0018
Mar  8, 2024 15:23:59.789883756 EST,3.162.3.6,192.168.4.133,443,46304,247,0x0010
